url,statut
https://www.google.com/maps/place/Chambre+d%27h%C3%B4tes+la+Mesonnetta/data=!4m10!3m9!1s0x480111ae46f5c0a3:0x1855c2b6f932fbcf!5m2!4m1!1i2!8m2!3d45.7699982!4d-0.7952841!16s%2Fg%2F11h5vv2npq!19sChIJo8D1Rq4RAUgRz_sy-bbCVRg?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/Vars-sur-Roseix/data=!4m7!3m6!1s0x47f8b785fa5ead85:0x405d39260ee67a0!8m2!3d45.259163!4d1.364086!16s%2Fm%2F03mg0f0!19sChIJha1e-oW3-EcRoGfuYJLTBQQ?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/Piscine+de+Vars/data=!4m7!3m6!1s0x12ccbeb9ac5e6905:0x8f6b26463a4fb989!8m2!3d44.5690609!4d6.682339!16s%2Fg%2F11c48fjsb1!19sChIJBWlerLm-zBIRiblPOkYma48?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/H%C3%B4tel+Le+Chalet+d%27Auron+-+Restaurant+et+Spa/data=!4m10!3m9!1s0x12ccf9ccc9b52ead:0x892331146a02a057!5m2!4m1!1i2!8m2!3d44.227159!4d6.935581!16s%2Fg%2F1tdhh33q!19sChIJrS61ycz5zBIRV6ACahQxI4k?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/Marmotel+%26+Spa+-+SOWELL+COLLECTION/data=!4m10!3m9!1s0x12cc903d5074be91:0x2f5f0c0e646ea459!5m2!4m1!1i2!8m2!3d44.3697881!4d6.600109!16s%2Fg%2F1jkydg16m!19sChIJkb50UD2QzBIRWaRuZA4MXy8?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/Chalet+La+Vie+Sauvage/data=!4m10!3m9!1s0x12cccc7bc0b52cc5:0x9cd43bd827331300!5m2!4m1!1i2!8m2!3d44.7504511!4d6.8426481!16s%2Fg%2F11mnbwy2cl!19sChIJxSy1wHvMzBIRABMzJ9g71Jw?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/Les+Chalets+du+Villard/data=!4m10!3m9!1s0x12cccef36d96d957:0x6b318f9e05980636!5m2!4m1!1i2!8m2!3d44.6984729!4d6.8705741!16s%2Fg%2F1tqbf724!19sChIJV9mWbfPOzBIRNgaYBZ6PMWs?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/Alta+Peyra+H%C3%B4tel****+%26+Spa/data=!4m10!3m9!1s0x12cccef32702bb55:0x5dd38eaa4f2b562d!5m2!4m1!1i2!8m2!3d44.7006538!4d6.8683157!16s%2Fg%2F1hhj5wcvb!19sChIJVbsCJ_POzBIRLVYrT6qO010?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/Les+Carlines/data=!4m10!3m9!1s0x12ccbeb65078ce81:0x7ae3654a95b5498c!5m2!4m1!1i2!8m2!3d44.5758236!4d6.6829197!16s%2Fg%2F1hm3tgppf!19sChIJgc54ULa-zBIRjEm1lUpl43o?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/Les+Bains+de+Vars/data=!4m7!3m6!1s0x12ccbeb829267251:0xb757266d09a68e93!8m2!3d44.5676246!4d6.6855055!16s%2Fg%2F1vpghyc3!19sChIJUXImKbi-zBIRk46mCW0mV7c?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/Centre+vars/data=!4m7!3m6!1s0x12ccbfce7a1280e3:0xc8755d829099ecfc!8m2!3d44.5735767!4d6.6810997!16s%2Fg%2F11lm6kylzy!19sChIJ44ASes6_zBIR_OyZkIJddcg?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/SKISEO+-+Centre+Aqualudique+et+de+d%C3%A9tente+Risoul+1850/data=!4m7!3m6!1s0x12ccba6e0159f72b:0x6f581d5d198bdd5f!8m2!3d44.6214946!4d6.6362475!16s%2Fg%2F11cp5gvmtg!19sChIJK_dZAW66zBIRX92LGV0dWG8?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/Camping+Capfun+-+Village+Parisien/data=!4m7!3m6!1s0x47e8a20a2c9864bf:0x2ae18792f5b411c7!8m2!3d49.003011!4d2.941297!16s%2Fg%2F1tkjkj9h!19sChIJv2SYLAqi6EcRxxG09ZKH4So?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/Varrains/data=!4m7!3m6!1s0x4807f6989bd381a1:0x7820cd3f228ba49b!8m2!3d47.2230009!4d-0.067129!16s%2Fm%2F03x_v4j!19sChIJoYHTm5j2B0gRm6SLIj_NIHg?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/Badaboum+Parc/data=!4m7!3m6!1s0x4807f1f2f5a75821:0x97ed5528dc510abb!8m2!3d47.2330988!4d-0.1154701!16s%2Fg%2F11jgd8zr85!19sChIJIVin9fLxB0gRuwpR3ChV7Zc?authuser=0&hl=fr&rclk=1,traité
https://www.google.com/maps/place/Varouville/data=!4m7!3m6!1s0x480b60907c8f98af:0x40c14484fb96200!8m2!3d49.676062!4d-1.367748!16s%2Fm%2F03nxcjs!19sChIJr5iPfJBgC0gRAGK5T0gUDAQ?authuser=0&hl=fr&rclk=1,traité
